Time_x,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,TimeStamp_x,TimeBin,Time_y,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,TotalTime,LeaderTime,GapToLeader,NextDriverTime,GapToAhead,PrevDriverTime,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,NextPitOutTime,PitDuration,Driver_idx,Team_idx,dnf,status_14,status_126,status_16,status_167,status_67,status_671,status_71,status_26,status_6,status_2,status_6712,status_712
0 days 01:13:00.002000,VER,1,0 days 00:01:59.392000,1.0,1.0,,,,0 days 00:00:20.705000,0 days 00:00:55.250000,,0 days 01:12:04.853000,0 days 01:13:00.058000,249.0,292.0,247.0,215.0,False,INTERMEDIATE,1.0,True,Red Bull Racing,0 days 01:11:00.355000,2025-03-16 04:18:22.974,124,2.0,,,False,False,0 days 01:13:00.002000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,119.392,119.392,117.099,2.292999999999992,117.099,2.292999999999992,120.807,1.4150000000000063,0,0.0,1.0,0.0,0.0,0.0,0.0,0 days 00:12:51.906000,,0,0,0,False,,,,,,,,,,,,
0 days 01:15:49.358000,VER,1,0 days 00:01:59.392000,2.0,1.0,,0 days 01:15:38.205000,0 days 00:00:58.141000,0 days 00:00:37.976000,0 days 00:01:13.205000,0 days 01:13:58.233000,0 days 01:14:36.257000,0 days 01:15:49.446000,66.0,222.0,247.0,210.0,False,INTERMEDIATE,2.0,True,Red Bull Racing,0 days 01:13:00.002000,2025-03-16 04:20:22.621,4,,,,False,False,0 days 01:15:49.358000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0 days 00:15:41.262000,0 days 01:15:51.658000,0 days 00:00:13.453000,0,0,False,,,,,,,,,,,,
0 days 01:18:31.526000,VER,1,0 days 00:01:59.392000,3.0,2.0,0 days 01:15:51.658000,0 days 01:18:20.223000,0 days 00:00:56.230000,0 days 00:00:33.683000,0 days 00:01:12.232000,0 days 01:16:45.667000,0 days 01:17:19.489000,0 days 01:18:31.643000,78.0,203.0,247.0,180.0,False,INTERMEDIATE,3.0,False,Red Bull Racing,0 days 01:15:49.358000,2025-03-16 04:23:11.977,4,,,,False,False,0 days 01:18:31.526000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0 days 00:18:23.430000,0 days 01:18:34.029000,0 days 00:00:13.806000,0,0,False,,,,,,,,,,,,
0 days 01:21:07.226000,VER,1,0 days 00:01:59.392000,4.0,3.0,0 days 01:18:34.029000,0 days 01:20:56.543000,0 days 00:00:54.351000,0 days 00:00:32.712000,0 days 00:01:08.712000,0 days 01:19:26.041000,0 days 01:19:58.680000,0 days 01:21:07.378000,103.0,240.0,247.0,187.0,False,INTERMEDIATE,4.0,False,Red Bull Racing,0 days 01:18:31.526000,2025-03-16 04:25:54.145,4,,,,False,False,0 days 01:21:07.226000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,,,,,,,,,0,0.0,0.0,0.0,0.0,1.0,0.0,0 days 00:20:59.130000,0 days 01:21:09.534000,0 days 00:00:12.991000,0,0,False,,,,,,,,,,,,
0 days 01:23:30.835000,VER,1,0 days 00:02:23.609000,5.0,4.0,0 days 01:21:09.534000,,0 days 00:00:53.513000,0 days 00:00:32.627000,0 days 00:00:57.469000,0 days 01:22:00.795000,0 days 01:22:33.422000,0 days 01:23:30.891000,79.0,130.0,237.0,194.0,False,INTERMEDIATE,5.0,False,Red Bull Racing,0 days 01:21:07.226000,2025-03-16 04:28:29.845,4,2.0,,,False,False,0 days 01:23:30.835000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,143.609,263.001,260.747,2.2539999999999623,260.747,2.2539999999999623,263.962,0.9610000000000127,0,0.0,0.0,0.0,0.0,1.0,0.0,0 days 00:23:22.739000,,0,0,0,False,,,,,,,,,,,,
0 days 01:25:50.489000,VER,1,0 days 00:02:19.654000,6.0,4.0,,,0 days 00:00:47.887000,0 days 00:00:33.228000,0 days 00:00:58.539000,0 days 01:24:18.778000,0 days 01:24:52.006000,0 days 01:25:50.545000,158.0,183.0,208.0,127.0,True,INTERMEDIATE,6.0,False,Red Bull Racing,0 days 01:23:30.835000,2025-03-16 04:30:53.454,4,2.0,,,False,False,0 days 01:25:50.489000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.654,402.655,401.16999999999996,1.4850000000000136,401.16999999999996,1.4850000000000136,403.83500000000004,1.1800000000000637,0,0.0,0.0,0.0,0.0,1.0,0.0,0 days 00:25:42.393000,,0,0,0,False,,,,,,,,,,,,
0 days 01:28:06.936000,VER,1,0 days 00:02:16.447000,7.0,4.0,,,0 days 00:00:45.898000,0 days 00:00:29.735000,0 days 00:01:00.814000,0 days 01:26:36.443000,0 days 01:27:06.178000,0 days 01:28:06.992000,174.0,197.0,277.0,208.0,True,INTERMEDIATE,7.0,False,Red Bull Racing,0 days 01:25:50.489000,2025-03-16 04:33:13.108,41,3.0,,,False,False,0 days 01:28:06.936000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,136.447,539.102,538.278,0.8239999999999554,538.278,0.8239999999999554,539.404,0.3020000000000209,0,0.0,0.0,0.0,0.0,0.0,1.0,0 days 00:27:58.840000,,0,0,0,False,,,,,,,,,,,,
0 days 01:29:43.766000,VER,1,0 days 00:01:36.830000,8.0,4.0,,,0 days 00:00:35.249000,0 days 00:00:20.145000,0 days 00:00:41.436000,0 days 01:28:42.241000,0 days 01:29:02.386000,0 days 01:29:43.822000,257.0,297.0,278.0,245.0,True,INTERMEDIATE,8.0,False,Red Bull Racing,0 days 01:28:06.936000,2025-03-16 04:35:29.555,1,2.0,,,False,True,0 days 01:29:43.766000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,96.83,635.932,634.556,1.3759999999999764,634.556,1.3759999999999764,636.655,0.7229999999999563,1,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:29:35.670000,,0,0,0,False,,,,,,,,,,,,
0 days 01:31:18.081000,VER,1,0 days 00:01:34.315000,9.0,4.0,,,0 days 00:00:33.850000,0 days 00:00:19.608000,0 days 00:00:40.857000,0 days 01:30:17.672000,0 days 01:30:37.280000,0 days 01:31:18.137000,,301.0,279.0,258.0,True,INTERMEDIATE,9.0,False,Red Bull Racing,0 days 01:29:43.766000,2025-03-16 04:37:06.385,1,2.0,,,False,True,0 days 01:31:18.081000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,94.315,730.247,729.194,1.0529999999999973,729.194,1.0529999999999973,731.233,0.98599999999999,1,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:31:09.985000,,0,0,0,False,,,,,,,,,,,,
0 days 01:32:50.731000,VER,1,0 days 00:01:32.650000,10.0,4.0,,,0 days 00:00:33.117000,0 days 00:00:19.414000,0 days 00:00:40.119000,0 days 01:31:51.254000,0 days 01:32:10.668000,0 days 01:32:50.787000,259.0,302.0,278.0,263.0,True,INTERMEDIATE,10.0,False,Red Bull Racing,0 days 01:31:18.081000,2025-03-16 04:38:40.700,1,2.0,,,False,True,0 days 01:32:50.731000,0 days 01:00:00,0 days 01:00:08.096000,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,92.65,822.897,821.324,1.5730000000000928,821.324,1.5730000000000928,823.905,1.0079999999999245,1,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:32:42.635000,,0,0,0,False,,,,,,,,,,,,
