LapNumber,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
8.0,8.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,98.729,85.97000000000003,17.489000000000033,17.561999999999898,1,0.0,0.0,0.0,0.0,0.0,0.0,1786.416,2,2,0
9.0,9.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.312,87.644,17.534000000000106,19.814000000000078,1,0.0,0.0,0.0,0.0,0.0,0.0,1882.728,2,2,0
10.0,10.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.27,90.78399999999988,17.2349999999999,20.955000000000155,1,0.0,0.0,0.0,0.0,0.0,0.0,1977.998,2,2,0
11.0,11.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.678,93.27300000000014,16.613000000000056,21.692999999999984,1,0.0,0.0,0.0,0.0,0.0,0.0,2072.676,2,2,0
12.0,12.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,95.385,96.88000000000011,17.922000000000025,21.309999999999945,1,0.0,0.0,0.0,0.0,0.0,0.0,2168.061,2,2,0
13.0,13.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.697,99.25900000000001,18.104000000000042,21.863000000000056,1,0.0,0.0,0.0,0.0,0.0,0.0,2261.758,2,2,0
14.0,14.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.802,102.26600000000008,19.24200000000019,21.792999999999893,1,0.0,0.0,0.0,0.0,0.0,0.0,2355.56,2,2,0
15.0,15.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.212,104.25199999999995,19.13000000000011,23.465999999999894,1,0.0,0.0,0.0,0.0,0.0,0.0,2447.772,2,2,0
16.0,16.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,97.326,111.6260000000002,23.935000000000173,19.534999999999854,1,0.0,0.0,0.0,0.0,0.0,0.0,2545.098,2,2,0
17.0,17.0,13.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.312,113.67399999999998,23.28099999999995,21.75,1,0.0,0.0,0.0,0.0,0.0,0.0,2637.41,2,2,0
