LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf,mode,predicted_base_pace,delta
1.0,247.0,215.0,1.0,5.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,0.0,30.27499999999999,-11.263000000000003,,0,0.0,1.0,0.0,0.0,0.0,0.0,771.906,0,0,0,0,107.04521087556533,12.346789124434665
2.0,247.0,210.0,2.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,13.453,4.585999999999984,-22.52600000000001,,0,0.0,0.0,0.0,0.0,1.0,0.0,941.262,0,0,0,0,95.27234701560623,10.666652984393767
3.0,247.0,180.0,3.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,13.806,6.878999999999962,-33.789000000000044,,0,0.0,0.0,0.0,0.0,1.0,0.0,1103.43,0,0,0,0,95.43034094704743,10.15565905295257
4.0,247.0,187.0,4.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,12.991,9.171999999999969,-45.05200000000002,,0,0.0,0.0,0.0,0.0,1.0,0.0,1259.13,0,0,0,0,94.60800317468215,11.792996825317843
5.0,237.0,194.0,5.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,143.609,0.0,9.133000000000038,-42.884000000000015,,0,0.0,0.0,0.0,0.0,1.0,0.0,1402.739,0,0,0,0,94.10026420563601,49.508735794364
6.0,208.0,127.0,6.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,139.654,0.0,8.364000000000033,-42.61099999999999,,0,0.0,0.0,0.0,0.0,1.0,0.0,1542.393,0,0,0,0,94.27677782127193,45.37722217872806
7.0,277.0,208.0,7.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,136.447,0.0,7.7029999999999745,-37.61500000000001,,0,0.0,0.0,0.0,0.0,0.0,1.0,1678.84,0,0,0,0,94.7252882324291,41.72171176757091
8.0,278.0,245.0,8.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.83,0.0,8.254999999999882,-39.24900000000002,,1,0.0,0.0,0.0,0.0,0.0,0.0,1775.67,0,0,0,0,94.90449361225618,1.9255063877438232
9.0,279.0,258.0,9.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.315,0.0,7.932000000000016,-40.34300000000008,,1,0.0,0.0,0.0,0.0,0.0,0.0,1869.985,0,0,0,1,94.80016026756039,-0.48516026756038855
10.0,278.0,263.0,10.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.65,0.0,8.451999999999998,-42.125999999999976,,1,0.0,0.0,0.0,0.0,0.0,0.0,1962.635,0,0,0,2,94.47101094028247,-1.8210109402824628
11.0,276.0,272.0,11.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.453,0.0,8.716000000000122,-43.80899999999997,,1,0.0,0.0,0.0,0.0,0.0,0.0,2055.088,0,0,0,2,94.46509224591114,-2.012092245911134
12.0,279.0,274.0,12.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.591,0.0,8.528999999999996,-45.49099999999999,,1,0.0,0.0,0.0,0.0,0.0,0.0,2146.679,0,0,0,2,94.10570697899546,-2.514706978995463
13.0,278.0,281.0,13.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.271,0.0,8.481999999999971,-46.98199999999997,,1,0.0,0.0,0.0,0.0,0.0,0.0,2237.95,0,0,0,2,93.96473035981654,-2.6937303598165414
14.0,291.0,282.0,14.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.639,0.0,8.326000000000022,-48.77700000000005,,1,0.0,0.0,0.0,0.0,0.0,0.0,2328.589,0,0,0,2,93.67159559940703,-3.0325955994070313
15.0,290.0,287.0,15.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.328,0.0,8.427999999999884,-50.99399999999992,,1,0.0,0.0,0.0,0.0,0.0,0.0,2418.917,0,0,0,2,93.54862298720744,-3.2206229872074346
16.0,280.0,297.0,16.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,90.592,0.0,9.067999999999984,-52.53500000000008,,1,0.0,0.0,0.0,0.0,0.0,0.0,2509.509,0,0,0,2,93.55827088132979,-2.966270881329791
17.0,278.0,285.0,17.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,93.392,0.0,12.195999999999913,-51.78800000000001,,1,0.0,0.0,0.0,0.0,0.0,0.0,2602.901,0,0,0,1,93.22135023917868,0.17064976082131977
18.0,280.0,271.0,18.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.169,0.0,14.219000000000053,-53.062999999999874,,1,0.0,0.0,0.0,0.0,0.0,0.0,2695.07,0,0,0,2,93.19847041127575,-1.029470411275753
19.0,280.0,273.0,19.0,3.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.939,0.0,15.606999999999973,-54.62000000000012,,1,0.0,0.0,0.0,0.0,0.0,0.0,2787.009,0,0,0,2,93.03062554629693,-1.0916255462969389
