LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
1.0,247.0,215.0,1.0,5.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,0.0,30.27499999999999,-11.263000000000005,,0,0.0,1.0,0.0,0.0,0.0,0.0,771.906,0,0,0
5.0,237.0,194.0,5.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,143.609,0.0,9.133000000000038,-42.884000000000015,,0,0.0,0.0,0.0,0.0,1.0,0.0,1402.739,0,0,0
6.0,208.0,127.0,6.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,139.654,0.0,8.364000000000033,-42.61099999999999,,0,0.0,0.0,0.0,0.0,1.0,0.0,1542.393,0,0,0
7.0,277.0,208.0,7.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,136.447,0.0,7.7029999999999745,-37.61500000000001,,0,0.0,0.0,0.0,0.0,0.0,1.0,1678.84,0,0,0
8.0,278.0,245.0,8.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,96.83,0.0,8.254999999999882,-39.249000000000024,,1,0.0,0.0,0.0,0.0,0.0,0.0,1775.67,0,0,0
9.0,279.0,258.0,9.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,94.315,0.0,7.932000000000016,-40.343000000000075,,1,0.0,0.0,0.0,0.0,0.0,0.0,1869.985,0,0,0
10.0,278.0,263.0,10.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.65,0.0,8.451999999999998,-42.125999999999976,,1,0.0,0.0,0.0,0.0,0.0,0.0,1962.635,0,0,0
11.0,276.0,272.0,11.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,92.453,0.0,8.716000000000122,-43.80899999999997,,1,0.0,0.0,0.0,0.0,0.0,0.0,2055.088,0,0,0
12.0,279.0,274.0,12.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.591,0.0,8.528999999999996,-45.490999999999985,,1,0.0,0.0,0.0,0.0,0.0,0.0,2146.679,0,0,0
13.0,278.0,281.0,13.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,91.271,0.0,8.481999999999971,-46.98199999999997,,1,0.0,0.0,0.0,0.0,0.0,0.0,2237.95,0,0,0
