LapNumber,SpeedFL,SpeedST,TyreLife,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,PitDuration,GapToLeader,GapToAhead,GapToBehind,status_1,status_12,status_124,status_21,status_24,status_4,status_41,TimeSinceLastWeatherMeasurement,Driver_idx,Team_idx,dnf
2.0,247.0,210.0,2.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,13.453,4.585999999999984,-22.52600000000001,,0,0.0,0.0,0.0,0.0,1.0,0.0,941.262,0,0,0
3.0,247.0,180.0,3.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,13.806,6.878999999999962,-33.789000000000044,,0,0.0,0.0,0.0,0.0,1.0,0.0,1103.43,0,0,0
4.0,247.0,187.0,4.0,2.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,119.392,12.991,9.171999999999969,-45.05200000000002,,0,0.0,0.0,0.0,0.0,1.0,0.0,1259.13,0,0,0
34.0,282.0,288.0,34.0,3.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,128.598,18.659,32.01200000000017,-110.51399999999967,,0,0.0,0.0,0.0,1.0,0.0,0.0,572.64,0,0,0
46.0,281.0,266.0,12.0,1.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,4.0,0.0,0.0,112.606,18.82,0.0,-79.13299999999981,,1,0.0,0.0,0.0,0.0,0.0,0.0,1971.109,0,0,0
2.0,182.0,195.0,2.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,14.98,34.066,-19.861999999999966,-2.4979999999999905,0,0.0,0.0,0.0,0.0,1.0,0.0,958.007,1,1,0
3.0,182.0,189.0,3.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,15.838,51.09899999999999,-29.79299999999995,-3.747000000000014,0,0.0,0.0,0.0,0.0,1.0,0.0,1120.972,1,1,0
4.0,182.0,194.0,4.0,9.0,15.4,73.0,1009.4,0,18.9,282,4.3,Melbourne,5.303,58,0.0,0.0,1.0,134.132,14.732,68.132,-39.72399999999993,-4.995999999999981,0,0.0,0.0,0.0,0.0,1.0,0.0,1275.419,1,1,0
33.0,280.0,284.0,33.0,10.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,0.0,0.0,1.0,111.3,19.609,131.25800000000027,-74.64999999999964,-5.719000000000051,0,0.0,1.0,0.0,0.0,0.0,0.0,506.942,1,1,0
46.0,281.0,262.0,13.0,9.0,15.7,77.0,1010.2,0,19.1,229,2.5,Melbourne,5.303,58,3.0,0.0,0.0,116.069,19.735,102.19999999999982,-23.836999999999534,-22.666000000000167,1,0.0,0.0,0.0,0.0,0.0,0.0,1984.138,1,1,0
