Time_x,Driver,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,Team,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,LapTime_sec,GapToLeader,GapToAhead,GapToBehind
0 days 01:00:45.351000,VER,1.0,NO_PIT,NO_PIT,258.0,314.0,MEDIUM,1.0,True,Red Bull Racing,0 days 00:59:02.863000,12,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,102.249,3.905000000000001,0.48599999999999,0.7590000000000003
0 days 01:02:23.655000,VER,2.0,NO_PIT,NO_PIT,263.0,337.0,MEDIUM,2.0,True,Red Bull Racing,0 days 01:00:45.351000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.304,4.6580000000000155,0.6059999999999945,0.8019999999999925
0 days 01:04:01.957000,VER,3.0,NO_PIT,NO_PIT,263.0,334.0,MEDIUM,3.0,True,Red Bull Racing,0 days 01:02:23.655000,12,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.302,5.271000000000015,0.8210000000000264,1.002999999999986
0 days 01:05:40.571000,VER,4.0,NO_PIT,NO_PIT,257.0,316.0,MEDIUM,4.0,True,Red Bull Racing,0 days 01:04:01.957000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.614,6.081000000000017,1.7869999999999777,1.2130000000000223
0 days 01:07:19.466000,VER,5.0,NO_PIT,NO_PIT,258.0,314.0,MEDIUM,5.0,True,Red Bull Racing,0 days 01:05:40.571000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.895,6.894000000000062,2.4290000000000305,1.1149999999999523
0 days 01:08:58.245000,VER,6.0,NO_PIT,NO_PIT,258.0,314.0,MEDIUM,6.0,True,Red Bull Racing,0 days 01:07:19.466000,12,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.779,8.134000000000015,2.9220000000000255,1.2469999999999573
0 days 01:10:36.937000,VER,7.0,NO_PIT,NO_PIT,259.0,315.0,MEDIUM,7.0,True,Red Bull Racing,0 days 01:08:58.245000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.692,8.928000000000111,3.1560000000000628,1.5199999999999818
0 days 01:12:16.021000,VER,8.0,NO_PIT,NO_PIT,256.0,317.0,MEDIUM,8.0,True,Red Bull Racing,0 days 01:10:36.937000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,99.084,9.81899999999996,3.7619999999999436,1.5539999999999736
0 days 01:13:55.250000,VER,9.0,NO_PIT,NO_PIT,257.0,316.0,MEDIUM,9.0,True,Red Bull Racing,0 days 01:12:16.021000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,99.229,10.849000000000046,4.399000000000001,1.6089999999999236
0 days 01:15:34.314000,VER,10.0,NO_PIT,NO_PIT,258.0,317.0,MEDIUM,10.0,True,Red Bull Racing,0 days 01:13:55.250000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,99.064,11.918999999999983,4.902000000000044,1.7429999999999382
0 days 01:17:13.468000,VER,11.0,NO_PIT,NO_PIT,258.0,315.0,MEDIUM,11.0,True,Red Bull Racing,0 days 01:15:34.314000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,99.154,12.94900000000007,5.6340000000000146,1.8019999999999072
0 days 01:18:52.095000,VER,12.0,NO_PIT,NO_PIT,259.0,315.0,MEDIUM,12.0,True,Red Bull Racing,0 days 01:17:13.468000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,98.627,13.462999999999965,5.578999999999951,6.472999999999956
0 days 01:20:34.705000,VER,13.0,NO_PIT,0 days 01:20:33.047000,259.0,315.0,MEDIUM,13.0,True,Red Bull Racing,0 days 01:18:52.095000,1,6.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,102.61,18.118000000000166,5.41800000000012,2.173999999999978
0 days 01:22:29.957000,VER,14.0,0 days 01:20:55.521000,NO_PIT,259.0,312.0,HARD,1.0,True,Red Bull Racing,0 days 01:20:34.705000,1,11.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,115.252,32.44100000000003,4.932999999999993,2.5160000000000764
0 days 01:24:07.279000,VER,15.0,NO_PIT,NO_PIT,260.0,313.0,HARD,2.0,True,Red Bull Racing,0 days 01:22:29.957000,1,11.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,97.322,26.493999999999915,3.9349999999999454,5.017000000000053
0 days 01:25:44.303000,VER,16.0,NO_PIT,NO_PIT,266.0,319.0,HARD,3.0,True,Red Bull Racing,0 days 01:24:07.279000,1,11.0,27.3,18.0,1010.4,False,35.6,264,2.2,0 days 01:00:45.122000,Shanghai,5.451,56,97.024,11.770999999999958,0.7400000000000091,8.516000000000076
