,Driver,Nationality,Seasons,Championships,Race_Entries,Race_Starts,Pole_Positions,Race_Wins,Podiums,Fastest_Laps,Points,Active,Championship Years,Decade,Pole_Rate,Start_Rate,Win_Rate,Podium_Rate,FastLap_Rate,Points_Per_Entry,Years_Active,Champion
11,ALB,Thailand,"[2019, 2020, 2022]",0.0,61.0,60.0,0.0,0.0,2.0,0.0,202.0,True,,2020,0.0,0.9836065573770492,0.0,0.0327868852459016,0.0,3.3114754098360657,3,False
17,ALO,Spain,"[2001, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2021, 2022]",2.0,359.0,356.0,22.0,32.0,99.0,23.0,2076.0,True,"[2005, 2006]",2010,0.0612813370473537,0.9916434540389972,0.0891364902506963,0.2757660167130919,0.064066852367688,5.782729805013927,19,True
287,GAS,France,"[2017, 2018, 2019, 2020, 2021, 2022]",0.0,109.0,109.0,0.0,1.0,3.0,3.0,334.0,True,,2020,0.0,1.0,0.0091743119266055,0.0275229357798165,0.0275229357798165,3.0642201834862384,6,False
338,HAM,United Kingdom,"[2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",7.0,311.0,311.0,103.0,103.0,191.0,61.0,4415.5,True,"[2008, 2014, 2015, 2017, 2018, 2019, 2020]",2010,0.3311897106109325,1.0,0.3311897106109325,0.6141479099678456,0.1961414790996784,14.19774919614148,16,True
375,HUL,Germany,"[2010, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2022]",0.0,185.0,182.0,1.0,0.0,0.0,2.0,521.0,True,,2020,0.0054054054054054,0.9837837837837838,0.0,0.0,0.0108108108108108,2.8162162162162163,11,False
446,LEC,Monaco,"[2018, 2019, 2020, 2021, 2022]",0.0,104.0,103.0,18.0,5.0,24.0,7.0,868.0,True,,2020,0.173076923076923,0.9903846153846154,0.048076923076923,0.2307692307692307,0.0673076923076923,8.346153846153847,5,False
565,NOR,United Kingdom,"[2019, 2020, 2021, 2022]",0.0,83.0,83.0,1.0,0.0,6.0,5.0,428.0,True,,2020,0.0120481927710843,1.0,0.0,0.072289156626506,0.0602409638554216,5.156626506024097,4,False
568,OCO,France,"[2016, 2017, 2018, 2020, 2021, 2022]",0.0,112.0,112.0,0.0,1.0,2.0,0.0,364.0,True,,2020,0.0,1.0,0.0089285714285714,0.0178571428571428,0.0,3.25,6,False
603,PIA,Australia,[2023],0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,,2020,0.0,1.0,0.0,0.0,0.0,0.0,1,False
679,RUS,United Kingdom,"[2019, 2020, 2021, 2022]",0.0,83.0,83.0,1.0,1.0,9.0,5.0,300.0,True,,2020,0.0120481927710843,1.0,0.0120481927710843,0.108433734939759,0.0602409638554216,3.614457831325301,4,False
753,STR,Canada,"[2017, 2018, 2019, 2020, 2021, 2022]",0.0,124.0,123.0,1.0,0.0,3.0,0.0,202.0,True,,2020,0.0080645161290322,0.9919354838709676,0.0,0.0241935483870967,0.0,1.6290322580645162,6,False
798,TSU,Japan,"[2021, 2022]",0.0,45.0,43.0,0.0,0.0,0.0,0.0,44.0,True,,2020,0.0,0.9555555555555556,0.0,0.0,0.0,0.9777777777777776,2,False
811,VER,Netherlands,"[2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022]",2.0,164.0,164.0,21.0,36.0,78.0,21.0,2036.5,True,"[2021, 2022]",2020,0.1280487804878048,1.0,0.2195121951219512,0.4756097560975609,0.1280487804878048,12.417682926829269,8,True
