Unnamed: 0.1,Unnamed: 0,Time_x,LapNumber,PitOutTime,PitInTime,SpeedFL,SpeedST,TyreLife,LapStartTime,TrackStatus,Position,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,TimeStamp_y,Name,CircuitLength,Number of Laps,Slick,Wet,Inter,LapTime_sec,GapToLeader,GapToAhead,GapToBehind,status_1,status_2,status_4,status_6,status_12,status_14,status_16,status_21,status_24,status_26,status_41,status_67,status_71,status_124,status_126,status_167,status_671,status_712,status_6712,Driver_idx,Team_idx,TimeSinceLastWeatherMeasurement
4,4,0 days 01:23:30.835000,5.0,0 days 01:21:09.534000,NO_PIT,237.0,194.0,5.0,0 days 01:21:07.226000,4,2.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,143.609,9.133000000000038,9.133000000000038,5.206000000000017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:23:22.739000
5,5,0 days 01:25:50.489000,6.0,NO_PIT,NO_PIT,208.0,127.0,6.0,0 days 01:23:30.835000,4,2.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.654,8.364000000000033,8.364000000000033,5.4249999999999545,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:25:42.393000
34,34,0 days 02:11:45.631000,35.0,0 days 02:09:43.218000,NO_PIT,253.0,177.0,1.0,0 days 02:09:41.123000,4,3.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,4.0,0.0,0.0,124.508,33.07200000000012,13.340999999999894,39.29600000000028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:11:37.148000
47,47,0 days 02:37:09.211000,48.0,NO_PIT,NO_PIT,168.0,192.0,48.0,0 days 02:35:06.805000,4,2.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,122.406,5.899999999999636,5.899999999999636,16.976000000000568,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:37:00.728000
48,48,0 days 02:39:34.103000,49.0,NO_PIT,NO_PIT,249.0,181.0,49.0,0 days 02:37:09.211000,4,2.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,144.892,50.35199999999986,50.35199999999986,16.2470000000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:39:25.620000
49,49,0 days 02:41:56.188000,50.0,NO_PIT,NO_PIT,252.0,127.0,50.0,0 days 02:39:34.103000,4,2.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,0.0,0.0,1.0,142.085,68.70499999999993,68.70499999999993,16.467000000000553,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 days 00:41:47.705000
61,61,0 days 01:23:44.875000,5.0,0 days 01:21:27.130000,NO_PIT,198.0,204.0,5.0,0 days 01:21:23.515000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,141.36,65.84400000000005,4.583999999999946,13.004999999999995,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:23:36.779000
62,62,0 days 01:26:04.827000,6.0,NO_PIT,NO_PIT,217.0,222.0,6.0,0 days 01:23:44.875000,4,9.0,15.4,73.0,1009.4,False,18.9,282,4.3,0 days 01:00:08.096000,Melbourne,5.303,58,0.0,0.0,1.0,139.952,65.37300000000005,4.118000000000052,12.545999999999935,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:25:56.731000
90,90,0 days 02:11:00.474000,34.0,0 days 02:08:37.599000,NO_PIT,268.0,162.0,1.0,0 days 02:08:35.425000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,145.049,154.0340000000001,3.8830000000002656,22.688000000000105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:10:51.991000
91,91,0 days 02:12:46.005000,35.0,NO_PIT,NO_PIT,271.0,237.0,2.0,0 days 02:11:00.474000,4,9.0,15.7,77.0,1010.2,False,19.1,229,2.5,0 days 02:00:08.483000,Melbourne,5.303,58,3.0,0.0,0.0,105.531,136.1170000000002,6.01299999999992,22.619000000000145,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0 days 00:12:37.522000
