Name,Age,Wins,Podiums,Championships,Races,Points,DNFs
VER,27,65,117,4,223,3210.5,33
NOR,25,9,38,0,142,1282.0,12
LEC,27,8,48,0,161,1581.0,21
HAM,40,105,202,7,370,4971.5,32
ALB,29,0,2,0,118,294.0,21
PIA,24,8,22,0,60,673.0,3
SAI,30,4,27,0,220,1288.5,40
HUL,38,0,1,0,241,608.0,42
GAS,29,1,5,0,167,456.0,26
ANT,19,0,1,0,14,64.0,4
BEA,20,0,0,0,17,15.0,2
ALO,44,32,106,2,417,2363.0,81
HAD,20,0,0,0,13,22.0,1
COL,22,0,0,0,17,5.0,3
OCO,28,1,4,0,170,472.0,25
LAW,23,0,0,0,25,26.0,5
TSU,25,0,0,0,101,101.0,15
RUS,27,4,21,0,142,886.0,19
BOR,20,0,0,0,14,14.0,3
STR,26,0,3,0,180,318.0,29
