Circuit_Name,length_official,length_computed,altitude,num_corners,mean_corner_radius,min_corner_radius,std_corner_radius,straight_ratio,longest_straight,total_turning,left_right_ratio,bbox_elongation,compactness
Yas Marina Circuit,5281,5269.661046376543,9,18,78.697671363862,11.743211092852999,67.64673145163067,0.6162570888468809,975,26.048564397298946,1.5714285714285714,1.9391587381077544,224427405663.9155
Autódromo Oscar y Juan Gálvez,4322,4299.97822329239,8,17,52.5062012775676,18.432898620668738,27.438331124573764,0.5190751445086705,525,31.024139780869096,0.4166666666666667,1.3779069767446603,298212954411.68964
Red Bull Ring,4318,4480.161063123505,721,13,89.19561623530542,11.662681502183121,69.18349494276939,0.6562847608453838,605,17.084670790935405,0.3,2.3337556306312317,170422122658.53534
Albert Park Circuit,5278,5325.878503095075,10,21,93.89744615712128,15.369797273432587,65.62192335905301,0.5762394761459307,415,23.19062482857244,0.6153846153846154,1.0333521763700841,108291274867.91594
Baku City Circuit,6003,6538.857358514269,-25,17,61.08084086190333,19.074248415211642,64.22330531414296,0.7456207159177456,1180,24.850675068647355,3.25,1.7959878599453576,130452956790.40779
Circuit de Spa-Francorchamps,7004,7125.160565621811,413,23,121.1054029787862,12.27580247281403,92.6511926158991,0.6151154653603919,725,30.047460609253008,0.6428571428571429,1.0323532687379904,152491290430.67877
Bahrain International Circuit,5412,6215.930834315946,-16,15,61.967824474549914,10.22814529078936,50.209233674911744,0.7083333333333334,990,25.023029124070227,0.6666666666666666,1.3317301763479565,441226415574.0042
Autódromo José Carlos Pace - Interlagos,4309,4520.9267366467775,765,19,84.21521341719121,19.638375149780106,50.0129326217367,0.5093715545755237,595,25.876350681268853,2.1666666666666665,1.4494848531438727,333436968573.48047
Autódromo Internacional Nelson Piquet,5031,5147.45513063388,3,21,75.54627786863672,32.558924014349365,44.06226165507102,0.5643756050338818,720,26.481897155421112,1.625,1.736392040782365,412655222649.0453
Circuit Gilles-Villeneuve,4361,4829.908211536848,13,15,100.8004626385582,15.830670552095494,86.62018426610643,0.6446961894953656,625,24.098226237900455,0.25,2.157176823929525,169351773006.36526
Shanghai International Circuit,5451,5849.145342596185,14,19,60.605738955982794,11.561127570789232,43.0343292248643,0.5914893617021276,1155,34.05857211732807,0.9,1.335369641749009,274668543932.6347
Nürburgring,5148,5316.797774321661,627,18,99.96245554355939,13.281628951880531,96.69985179778939,0.6198501872659176,445,29.819915922692037,0.8,1.1514711224113352,129567118969.81633
Hockenheimring,4574,4652.830735748733,148,14,65.54688409166319,10.87851329754823,69.06471809171896,0.6531049250535332,420,23.02282098457517,0.4,2.4421859785792566,131321221218.08112
Circuit de Barcelona-Catalunya,4655,5077.952341464822,165,17,75.05146369440607,27.99776961612758,44.14853213596417,0.5756385068762279,805,25.560217550545737,0.5454545454545454,1.0918125887364514,211587565096.43878
Circuito de Madring,5474,5776.5328384995255,646,29,86.10453253980718,13.46552774629888,71.92961329135537,0.4802405498281787,520,35.67360062689896,0.38095238095238093,1.2255092869980966,152730312047.64362
Circuit de Nevers Magny-Cours,4412,4315.929088390607,230,21,104.96697922694544,9.227571298115855,77.95098443186573,0.4902186421173763,295,25.305296320785395,0.75,1.0106940200785122,219461702449.32068
Circuit Paul Ricard,5842,6097.002506215401,408,20,79.10978709250291,14.052801275998016,53.39893149918509,0.5650040883074408,1000,30.461626018625687,1.8571428571428572,2.199242945630191,125097415388.00769
Silverstone Circuit,5891,5948.053839667753,196,24,91.35874935008736,20.39234660643995,68.90585291165476,0.5624476110645432,595,28.408814868550305,0.7142857142857143,1.0266941818664836,152704967765.87762
Hungaroring,4381,4588.511800994274,239,19,95.01998379544466,19.888488505827368,88.04620508872493,0.5754614549402823,510,26.765471188692466,0.46153846153846156,1.3100064202516557,135200487537.77013
Autodromo Internazionale del Mugello,5245,5553.053057803232,292,17,64.15089604202592,39.05775961280033,21.400750355045016,0.5974842767295597,680,24.928798053331494,0.7,1.020260869565192,228537112068.00168
Autodromo Nazionale Monza,5793,5898.2526704651755,142,13,119.04726896242542,12.734272234730861,89.6795894357256,0.7075232459847844,925,17.071536709157357,0.4444444444444444,1.207129154031794,110373304489.47679
Autodromo Enzo e Dino Ferrari,4909,4844.804641932595,47,18,105.17804776459144,13.644197478456194,86.99857441650295,0.6485097636176773,370,20.42550989740091,1.5714285714285714,2.7057102738137346,118780588187.63838
Suzuka International Racing Course,5807,5995.994229862043,60,26,107.92135639813463,19.255797150807094,74.33080255137037,0.48711554447215294,510,30.503445825405546,0.8571428571428571,2.282225525589051,177601439631.77637
Circuit de Monaco,3337,3185.8516107456553,47,17,70.32914863599723,6.192347192929939,75.0134337628056,0.31993817619783615,140,31.141738357016134,0.8888888888888888,1.0451325411332626,126784189610.64554
Autódromo Hermanos Rodríguez,4304,4522.963835468445,2232,13,62.23566313857699,12.189537405880605,74.51425753907891,0.6648351648351648,805,25.405574786459052,0.4444444444444444,1.4686098654712059,158793047025.47592
Sepang International Circuit,5543,6039.301259399194,39,22,65.16070996999925,15.739334558124693,40.389771698245426,0.596042868920033,880,33.88864547713345,0.4666666666666667,1.2219883040948332,408295045155.3158
Circuit Zandvoort,4259,4460.894107460009,3,23,125.27713153082958,17.857459195865278,92.27572918705762,0.41294642857142855,440,28.796972338413447,0.6428571428571429,1.9225295381318641,186591334652.48956
Autódromo do Estoril,4349,4405.001068762947,80,15,61.2048611459254,21.6390885069769,34.65021398485013,0.6108597285067874,700,23.420007576050345,0.36363636363636365,1.3594380303237656,276182180337.3832
